No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,備考,入力者,入庫日,下代(数値)
48,FALSE,Pt900,リング,ダイヤ,0.3,03B-234-30,"240,000",20266,0.20ct,,,muro,2020/02/23,FPA0-8-S
49,FALSE,Pt900,リング,ダイヤ,0.3,04B-196-30,"244,000",102217,0.15ct,,,kida,2017/03/17,FPA0-9-0
50,FALSE,Pt900,リング,ダイヤ,0.3,04B-196-30,"250,000",102614,0.15ct,,,nakajima,2025/01/16,FPA0-11-0
51,FALSE,Pt900,リング,ダイヤ,0.3,03B-209-30,"260,000",3061,0.25ct,,,河野,2022/03/14,FPA0-1-130
52,FALSE,Pt900,リング,ダイヤ,0.3,03K-37-30,"280,000",103165,0.24ct,,,竹内,2023/02/11,FPB0-1-0
53,FALSE,Pt900,リング,ダイヤ,0.3,03B-312-30,"300,000",102971,0.35ct,,,muro,2020/02/23,FPB0-4-0
54,FALSE,Pt900,リング,ダイヤ,0.3,DRB1-4-30,"310,000",3033,0.20ct,,,fujita,2024/10/27,FPB0-3-0
55,FALSE,Pt900,リング,ダイヤ,0.3,03B-334-30,"310,000",103964,0.14ct,,,komaki,2025/04/05,FPB0-3-0
56,FALSE,Pt900,リング,ダイヤ,0.3,DRK2-1-30,"420,000",20424,0.43ct,,,fujita,2023/03/08,LPA1-1-100
57,FALSE,Pt900,リング,ダイヤ,0.3,DRK2-1-30,"430,000",3042,0.40ct,,,fujita,2023/08/18,LPA1-1-50
58,FALSE,Pt900,リング,ダイヤ,0.3,04K-14-30,"550,000",104505,0.52ct,,,小牧,2023/09/06,LPA1-2-100
59,FALSE,Pt900,リング,ダイヤ,0.45,DRA2-1-45,"110,000",20332,,,,fujita,2023/08/18,OPA1-4-160
60,FALSE,Pt900,リング,ダイヤ,0.5,DRA1-2-50,"113,000",3024,,,,fujita,2023/08/18,OPA1-1-120
61,FALSE,Pt900,リング,ダイヤ,0.5,Solitair6.6,"140,000",3012,,,SQ6.6mm,河野,2022/03/16,OPA1-1-130
62,FALSE,Pt900,リング,ダイヤ,0.5,DRA2-1-50*50,"140,000",20264,,,,nakajima,2025/01/16,OPA1-1-130
63,FALSE,Pt900,リング,ダイヤ,0.5,DRA2-1-50,"144,000",20235,,,,komaki,2023/10/11,OPA1-1-150
64,FALSE,Pt900,リング,ダイヤ,0.5,03A-170-50,"150,000",3028,,,,tanaka,2023/11/14,OPA1-1-160
65,FALSE,Pt900,リング,ダイヤ,0.5,03A-210-50,"180,000",103522,,,,河野,2021/05/21,OPA1-1-160
66,FALSE,Pt900,リング,ダイヤ,0.5,04A-459-50,"180,000",103407,,,,nakajima,2025/03/16,OPA1-1-180
67,FALSE,Pt900,リング,ダイヤ,0.5,03A-210-50,"180,000",103901,,,,fujita,2025/05/28,OPA1-1-200
68,FALSE,Pt900,リング,ダイヤ,0.5,03A-164-50,"190,000",103418,,,,tanaka,2023/11/14,OPA1-1-220
69,FALSE,Pt900,リング,ダイヤ,0.5,DRA2-3-50,"200,000",3036,,,,tanaka,2023/05/25,OPA1-1-220
