No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,備考,入力者,入庫日,下代(数値)
194,FALSE,Pt900,リング,ダイヤ,1.5CT,03A-167-150,"290,000",104541,,,,nakajima,2025/01/16,DRK2-1-100
195,FALSE,Pt900,リング,ダイヤ,1.5CT,04A-427-150,"300,000",106002,,,,komaki,2017/03/23,DRK2-1-30
196,FALSE,Pt900,リング,ダイヤ,1.5CT,03A-167-150,"320,000",106278,,,,fujita,2022/09/29,DRK2-1-50
197,FALSE,Pt900,リング,ダイヤ,1.5CT,04K-13-150,"750,000",104983,0.85ct,,,sato,2016/04/09,FRA0-7-0
198,FALSE,Pt900,リング,ダイヤ,2CT,04A-459-200,"300,000",105778,,,,nakajima,2023/07/05,FRA0-6-0
199,FALSE,Pt900,リング,ダイヤ,2CT,DRB1-4-200,"420,000",404,0.36ct,,,shige,2024/09/13,FRA0-8-0
200,FALSE,Pt900,リング,ダイヤ,2CT,03B-285-200,"480,000",104189,0.57ct,,,tanaka,2023/08/02,FRA0-2-0
201,FALSE,Pt900,リング,ダイヤ,2CT,04K-14-200,"520,000",105955,0.51ct,,,komaki,2023/02/20,FRA0-4-0
202,FALSE,Pt900,リング,ダイヤ,2CT,03B-263-200,"520,000",103182,0.64ct,,,tanaka,2023/11/14,FRA0-5-A
203,FALSE,Pt900,リング,ダイヤ,2CT,03K-58-200,"675,000",105747,0.65ct,,,komaki,2019/04/01,FRA0-9-0
204,FALSE,Pt900,リング,ダイヤ,2CT,03A-164-200DSPaveblack,"700,000",30129,0.75ct,,Black=0.75ct/No.181240,不明,不明,FRB0-2-0
205,FALSE,Pt900,リング,ダイヤ,2CT,JSD-326,"780,000",30103,0.50ct,,,furuya,2020/07/11,FRB0-1-0
206,FALSE,Pt900,リング,ダイヤ,2CT,04K-13-200,"800,000",107274,0.84ct,,,nakayama,2014/06/26,KRA1-1-25*25
207,FALSE,Pt900,リング,ダイヤ,2.5CT,SAHA-F-1198-DR250,"1,480,000",30248,3.38ct,,,kida,2017/03/17,KRA1-1-35*35
208,FALSE,Pt900,リング,ダイヤ,3CT,04A-459-300,"280,000",105285,,,,tsukamoto,2021/12/11,KRA1-1-40*40
209,FALSE,Pt900,リング,ダイヤ,3CT,03B-285-300,"350,000",104522,0.53ct,,,fujita,2022/10/13,KRA1-1-45*45
210,FALSE,Pt900,リング,ダイヤ,3CT,DRB1-4-300,"450,000",20445,0.36ct,,,shige,2024/09/13,KRA1-1-50*50
211,FALSE,Pt900,リング,ダイヤ,3CT,03K-12-300,"680,000",3089,0.66ct,,,河野,2022/03/09,KRK1-3-37*35
212,FALSE,Pt900,リング,ダイヤ,3CT,SAHA-F-1193-DR300,"2,370,000",30248,3.41ct,,,kida,2017/03/17,KRA1-2-80*80
213,FALSE,Pt900,リング,オーバル,70,09A-197-70,"160,000",20292,,,,fujita,2024/03/13,KRK1-2-45*45
214,FALSE,Pt900,リング,オーバル,80,09A-150-80,"90,000",101678,,,,shige,2017/04/20,LRA1-1-100
215,FALSE,Pt900,リング,オーバル,90,SAHA-E-0508-90RO,"280,000",50000,0.32ct,,,河野,2022/03/09,LRA1-1-50
216,FALSE,Pt900,リング,オーバル,100,09A-150-100,"95,000",101706,,,,shige,2017/04/20,LRA1-2-50
217,FALSE,Pt900,リング,オーバル,100,09K-16-100,"200,000",102327,0.22ct,,,norita,2019/08/13,ORA1-2-120
218,FALSE,Pt900,リング,オーバル,100,09C-217-100,"240,000",102962,0.09ct,,,tanaka,2023/11/14,ORA1-2-130
219,FALSE,Pt900,リング,オーバル,100,09E-482-100,"260,000",102307,0.25ct,,,YUKARI,2019/08/01,ORA1-2-140
220,FALSE,Pt900,リング,オーバル,100,09E-106-100,"420,000",103714,0.55ct,,,SK,2017/02/09,ORA1-2-150
221,FALSE,Pt900,リング,オーバル,110,09A-150-110,"135,000",102641,,,,fujita,2022/09/29,ORA1-2-160
222,FALSE,Pt900,リング,オーバル,110,09K-16-110,"210,000",102234,0.22ct,,,muro,2017/05/05,ORA1-2-180
223,FALSE,Pt900,リング,オーバル,110,09B-312-110,"280,000",102299,0.29ct,,,SK,2019/02/05,ORA1-2-200
224,FALSE,Pt900,リング,オーバル,110,09E-106-110,"520,000",20452,0.65ct,,,nakayama,2017/03/18,ORA1-2-220
225,FALSE,Pt900,リング,オーバル,120,09A-150-120,"100,000",102127,,,,nakajima ,2020/10/31,ORA1-2-240
226,FALSE,Pt900,リング,オーバル,120,ORA1-2-120,"135,000",20263,,,,fujita,2023/08/18,ORA1-2-260
227,FALSE,Pt900,リング,オーバル,120,09K-16-120,"220,000",102407,0.22ct,,,suzuki,2017/03/07,ORA1-2-300
228,FALSE,Pt900,リング,オーバル,120,09K-91-120,"220,000",102695,0.16ct,,,nakajima,2017/07/01,ORA1-2-280
229,FALSE,Pt900,リング,オーバル,120,ORK1-1-120,"250,000",3032,0.13ct,,,tanaka,2024/02/21,ORA1-3-100
230,FALSE,Pt900,リング,オーバル,120,ORB1-2-120,"250,000",403,0.17ct,,,坂井,2024/10/08,ORA1-3-100
231,FALSE,Pt900,リング,オーバル,120,ORK1-1-120,"270,000",20345,0.12ct,,,fujita,2023/12/05,ORA1-3-120
232,FALSE,Pt900,リング,オーバル,120,09B-312-120,"280,000",102608,0.29ct,,,SK,2018/08/03,ORA1-3-130
233,FALSE,Pt900,リング,オーバル,120,09E-433-120,"280,000",103087,0.25ct,,,tanaka,2023/11/14,ORA1-3-140
234,FALSE,Pt900,リング,オーバル,120,09B-410-120,"330,000",102642,0.40ct,,,tanaka,2023/11/14,ORA1-3-150
235,FALSE,Pt900,リング,オーバル,120,09P-46-120,"380,000",103188,0.43ct,,,tanaka,2023/11/14,ORA1-3-160
236,FALSE,Pt900,リング,オーバル,120,09K-87-120,"420,000",103651,0.44ct,,,tanaka,2023/11/14,ORA1-3-180
237,FALSE,Pt900,リング,オーバル,120,09E-106-120,"600,000",105392,0.72ct,,,tanaka,2023/11/14,ORA1-3-200
238,FALSE,Pt900,リング,オーバル,120,JSD-342-7-5,"880,000",30175,0.97ct,,,kida,2017/03/17,ORA1-3-220
239,FALSE,Pt900,リング,オーバル,130,09A-150-130,"110,000",102237,,,,YUKARI,2020/07/16,ORA1-3-240
240,FALSE,Pt900,リング,オーバル,130,ORA1-2-130,"140,000",20274,,,,fujita,2023/08/18,ORA1-7-240
241,FALSE,Pt900,リング,オーバル,130,09S-144-130,"190,000",403,0.17ct,,,河野,2022/03/09,ORA1-7-340
242,FALSE,Pt900,リング,オーバル,130,09C-175-140,"210,000",103283,0.11ct,,,fujita,2022/12/02,ORA1-5-120
243,FALSE,Pt900,リング,オーバル,130,ORK1-1-130,"260,000",3032,0.13ct,,,tanaka,2024/02/21,ORA1-5-130
244,FALSE,Pt900,リング,オーバル,130,ORB1-1-130,"260,000",3038,0.06ct,,,fujita,2024/06/10,ORA1-5-140
245,FALSE,Pt900,リング,オーバル,130,ORB1-2-130,"260,000",3029,0.17ct,,,坂井,2024/10/08,ORA1-5-150
246,FALSE,Pt900,リング,オーバル,130,09K-16-130,"270,000",20298,0.30ct,,,suzuki,2017/03/07,ORA1-5-160
247,FALSE,Pt900,リング,オーバル,130,09B-312-130,"270,000",102626,0.33ct,,,fujita,2021/08/09,ORA1-5-180
248,FALSE,Pt900,リング,オーバル,130,09K-16-130,"270,000",102883,0.28ct,,,tanaka,2023/11/14,ORA1-5-200
249,FALSE,Pt900,リング,オーバル,130,09S-111-130,"330,000",103165,0.39ct,,,fujita,2021/08/09,ORA1-5-220
250,FALSE,Pt900,リング,オーバル,130,09H-91-130,"340,000",20291,0.40ct,,,fujita,2021/08/09,ORA1-5-240
251,FALSE,Pt900,リング,オーバル,130,09S-161-130,"660,000",20496,0.84ct,,,tanaka,2023/11/14,ORA1-6-130
252,FALSE,Pt900,リング,オーバル,140,09A-150-140,"115,000",102689,,,,iwasaki,2023/02/01,ORA1-6-160
253,FALSE,Pt900,リング,オーバル,140,09A-261-140,"120,000",102129,,,,muro,2018/01/23,ORA1-6-180
254,FALSE,Pt900,リング,オーバル,140,ORA1-3-140,"130,000",20255,,,,tanaka,2023/04/27,ORA1-6-200
255,FALSE,Pt900,リング,オーバル,140,ORA1-2-140,"145,000",20271,,,,fujita,2023/08/18,ORA1-6-240
256,FALSE,Pt900,リング,オーバル,140,ORA1-6-140,"160,000",3027,,,,tanaka,2024/04/12,ORB1-1-120
257,FALSE,Pt900,リング,オーバル,140,09K-44-140,"180,000",103063,0.10ct,,,不明,2013/11/29,ORB1-1-130
258,FALSE,Pt900,リング,オーバル,140,09K-69-140,"190,000",103288,0.09ct,,,fujita,2025/06/23,
259,FALSE,Pt900,リング,オーバル,140,09K-47-140,"200,000",102876,0.15ct,,,nakajima,2014/07/23,ORB1-1-160
260,FALSE,Pt900,リング,オーバル,140,09K-55-140,"200,000",102792,0.11ct,,,sato,2016/04/09,ORB1-1-150
261,FALSE,Pt900,リング,オーバル,140,09C-235-140,"200,000",103177,0.06ct,,,tanaka,2023/07/14,ORB1-1-180
262,FALSE,Pt900,リング,オーバル,140,09B-18-140,"240,000",102308,0.22ct,,,KOUNO,2018/12/27,ORB1-1-220
263,FALSE,Pt900,リング,オーバル,140,09K-91-140,"240,000",103274,0.19ct,,,fujita,2021/08/09,ORB1-1-200
264,FALSE,Pt900,リング,オーバル,140,ORK1-1-140,"270,000",3033,0.12ct,,,tanaka,2024/01/04,ORB1-1-240
265,FALSE,Pt900,リング,オーバル,140,ORB1-1-140,"270,000",3038,0.06ct,,,fujita,2024/06/10,ORB1-1-260
266,FALSE,Pt900,リング,オーバル,140,09K-16-140,"280,000",103108,0.34ct,,,不明,2014/11/21,ORB1-4-220
267,FALSE,Pt900,リング,オーバル,140,09E-260-140,"280,000",103865,0.13ct,,,河野,2022/03/09,ORB1-3-120
268,FALSE,Pt900,リング,オーバル,140,09B-312-140,"280,000",102781,0.39ct,,,YUKARI,不明,ORB1-2-120
269,FALSE,Pt900,リング,オーバル,140,09E-396-140,"290,000",103286,0.26ct,,,tanaka,2023/11/14,ORB1-2-130
270,FALSE,Pt900,リング,オーバル,140,09B-452-140,"300,000",102661,0.33ct,,,SK,2016/12/01,ORB1-2-140
271,FALSE,Pt900,リング,オーバル,140,09H-261-140,"340,000",103751,0.23ct,,,KOUNO,2021/03/15,ORB1-2-160
272,FALSE,Pt900,リング,オーバル,140,09K-78-140,"340,000",103219,0.44ct,,,komaki,2022/04/19,ORB1-2-150
273,FALSE,Pt900,リング,オーバル,140,09K-179-140,"350,000",102799,0.43ct,,,河野,2022/03/09,ORB1-2-180
274,FALSE,Pt900,リング,オーバル,140,09B-312-140,"360,000",103164,0.40ct,,,tanaka,2023/11/14,ORK1-1-120
275,FALSE,Pt900,リング,オーバル,140,09K-141-140,"380,000",103119,0.48ct,,,河野,2022/03/09,ORK1-1-130
276,FALSE,Pt900,リング,オーバル,140,09E-106-140,"580,000",105244,0.82ct,,,nakayama,2017/03/18,ORK1-1-140
277,FALSE,Pt900,リング,オーバル,140,OSD-1253,"880,000",30159,1.21ct,,,muro,2016/02/21,ORK1-1-150
278,FALSE,Pt900,リング,オーバル,140,OSD-768,"1,080,000",30216,2.40ct,,,kida,2017/03/17,ORK1-2-160
279,FALSE,Pt900,リング,オーバル,140,OSD-810,"1,632,000",30217,1.90ct,,,kida,2017/03/17,ORK1-2-180
280,FALSE,Pt900,リング,オーバル,150,ORA1-3-150,"135,000",20266,,,,tanaka,2023/04/27,ORK1-2-200
281,FALSE,Pt900,リング,オーバル,150,ORA1-2-150,"145,000",20278,,,,fujita,2023/08/18,ORK1-2-220
282,FALSE,Pt900,リング,オーバル,150,09A-150-150,"150,000",102827,,,,fujita,2023/03/08,ORK1-3-160
283,FALSE,Pt900,リング,オーバル,150,09K-100-150,"190,000",102489,0.14ct,,,KOUNO,2015/09/30,ORK1-4-180
284,FALSE,Pt900,リング,オーバル,150,09B-20-150,"230,000",102541,0.13ct,,,muro,2016/05/03,PRA1-2-80
285,FALSE,Pt900,リング,オーバル,150,ORB1-1-150,"230,000",3035,"0,06ct",,,青山,2024/07/04,PRA1-3-80
286,FALSE,Pt900,リング,オーバル,150,09B-20-150,"230,000",102541,0.13ct,,,shige,2024/09/12,PRA1-3-90
287,FALSE,Pt900,リング,オーバル,150,ORK1-1-150,"270,000",3033,0.12ct,,,tanaka,2024/01/04,PRA1-1-80
288,FALSE,Pt900,リング,オーバル,150,ORB1-2-150,"280,000",3032,0.20ct,,,坂井,2024/10/08,PRB1-1-100
289,FALSE,Pt900,リング,オーバル,150,09K-16-150,"300,000",103372,0.35ct,,,komaki,2016/05/10,03A-186-20
290,FALSE,Pt900,リング,オーバル,150,SAHA-C-2513,"380,000",3065,0.12ct,,,河野,2022/03/09,03B-395-20
291,FALSE,Pt900,リング,オーバル,150,09S-111-150,"400,000",103477,0.48ct,,,SK,2019/02/05,03B-470-20
292,FALSE,Pt900,リング,オーバル,160,09A-286-160,"110,000",20182,,,,muro,2018/01/23,03B-476-20
293,FALSE,Pt900,リング,オーバル,160,09A-150-160,"130,000",3024,,,,yoshida,2018/06/06,04A-117-20
294,FALSE,Pt900,リング,オーバル,160,ORA1-3-160,"135,000",3026,,,,tanaka,2023/04/27,04A-351-20
295,FALSE,Pt900,リング,オーバル,160,09A-188-160,"160,000",20311,,,,山室,2022/10/08,14A-164-20
296,FALSE,Pt900,リング,オーバル,160,09A-261-160,"160,000",102826,,,,tanaka,2023/11/14,15A-148-20
297,FALSE,Pt900,リング,オーバル,160,09K-44-160,"200,000",102708,0.12ct,,,tamai,2017/10/07,03A-109-30
298,FALSE,Pt900,リング,オーバル,160,09K-55-160,"240,000",103355,0.22ct,,,suzuki,2017/03/02,03A-167-30
299,FALSE,Pt900,リング,オーバル,160,09C-193-160,"240,000",103362,0.09ct,,,tanaka,2023/11/14,03A-238-30
300,FALSE,Pt900,リング,オーバル,160,ORB1-1-160,"240,000",3035,"0,06ct",,,青山,2024/07/03,03B-222-30
301,FALSE,Pt900,リング,オーバル,160,09B-20-160,"250,000",103978,0.16ct,,,nakayama,2014/06/26,03B-234-30
302,FALSE,Pt900,リング,オーバル,160,09B-18-160,"260,000",102488,0.25ct,,,sato,2016/04/07,03B-400-30
303,FALSE,Pt900,リング,オーバル,160,09C-175-170,"260,000",102911,0.22ct,,,komaki,2017/04/10,03B-376-30
304,FALSE,Pt900,リング,オーバル,160,09K-91-160,"260,000",103063,0.20ct,,,furuya,2019/08/04,03B-318-30
305,FALSE,Pt900,リング,オーバル,160,09K-105-160,"260,000",102798,0.22ct,,,tanaka,2023/11/14,03B-89-30
306,FALSE,Pt900,リング,オーバル,160,09E-322-160,"270,000",103873,0.08ct,,,tanaka,2024/01/18,03B-95-30
307,FALSE,Pt900,リング,オーバル,160,09E-323-160,"280,000",20545,0.11ct,,,yoshida,2022/12/09,04A-280-30
308,FALSE,Pt900,リング,オーバル,160,09B-423-160,"280,000",20433,0.12ct,,,tanaka,2023/11/14,04A-392-30
309,FALSE,Pt900,リング,オーバル,160,09C-260-160,"290,000",102785,0.32ct,,,河野,2022/03/09,04B-118-30
310,FALSE,Pt900,リング,オーバル,160,09C-175-160,"290,000",20384,0.23ct,,,山室,2022/10/08,04B-148-30
311,FALSE,Pt900,リング,オーバル,160,ORB1-2-160,"290,000",3032,0.21ct,,,坂井,2024/10/08,04B-184-30
312,FALSE,Pt900,リング,オーバル,160,09E-260-160,"310,000",104171,0.13ct,,,shige,2024/09/12,05C-5-30
313,FALSE,Pt900,リング,オーバル,160,09K-16-160,"320,000",103165,0.42ct,,,suzuki,2017/03/07,14A-113-30
314,FALSE,Pt900,リング,オーバル,160,09B-423-160,"320,000",105825,0.11ct,,,komaki,2019/04/01,14A-124-30
315,FALSE,Pt900,リング,オーバル,160,ORK1-3-160,"350,000",3034,0.22ct,,,shige,2024/05/24,14B-115-30
316,FALSE,Pt900,リング,オーバル,160,09H-261-160,"380,000",20345,0.30ct,,,nakayama,2017/05/31,14B-233-30
317,FALSE,Pt900,リング,オーバル,160,09S-111-160,"400,000",104655,0.48ct,,,nakajima,2014/07/23,14B-280-30
318,FALSE,Pt900,リング,オーバル,160,09K-211-160,"430,000",105472,0.47ct,,,河野,2022/03/09,15A-132-30
319,FALSE,Pt900,リング,オーバル,160,09E-106-160,"570,000",104794,0.84ct,,,河野,2022/03/09,03B-145-50
320,FALSE,Pt900,リング,オーバル,160,09E-106-160,"570,000",108794,0.78ct,,,不明,不明,15A-144-30
321,FALSE,Pt900,リング,オーバル,170,09K-44-170,"230,000",102958,0.14ct,,,kida,2017/03/17,03B-224-50
322,FALSE,Pt900,リング,オーバル,170,09C-175-180,"260,000",103227,0.28ct,,,kim,2015/02/01,03B-236-50
323,FALSE,Pt900,リング,オーバル,170,09B-20-170,"260,000",103005,0.14ct,,,muro,2016/05/03,03B-240-50
324,FALSE,Pt900,リング,オーバル,170,09B-20-170,"260,000",30050,0.14ct,,,河野,2022/03/09,03B-83-50
325,FALSE,Pt900,リング,オーバル,170,09B-18-170,"280,000",102607,0.29ct,,,muro,2016/05/05,03K-37-50
326,FALSE,Pt900,リング,オーバル,170,09K-91-170,"300,000",103307,0.26ct,,,nakajima,2019/03/15,04A-406-50
327,FALSE,Pt900,リング,オーバル,170,09K-16-170,"340,000",103539,0.47ct,,,不明,2014/11/21,04A-459-50
328,FALSE,Pt900,リング,オーバル,170,09K-16-170,"340,000",103539,0.47ct,,,河野,2022/03/09,04B-132-50
329,FALSE,Pt900,リング,オーバル,180,09A-286-180,"130,000",102317,,,,muro,2018/01/23,04B-149-50
330,FALSE,Pt900,リング,オーバル,180,09A-322-180,"150,000",103071,,,,komaki,2017/02/14,04B-153-50
331,FALSE,Pt900,リング,オーバル,180,ORA1-2-180,"165,000",20338,,,,fujita,2023/08/18,04B-196-50
332,FALSE,Pt900,リング,オーバル,180,09A-313-180,"169,000",20308,,,,河野,2022/03/09,04B-81-50
333,FALSE,Pt900,リング,オーバル,180,09C-235-180,"200,000",103936,0.09ct,,,YUKARI,2021/03/10,04K-13-50
334,FALSE,Pt900,リング,オーバル,180,09E-393-180,"220,000",102799,0.10ct,,,nakajima,2020/07/11,05C-138-50
335,FALSE,Pt900,リング,オーバル,180,09E-389-180,"240,000",102955,0.07ct,,,tanaka,2023/11/14,05C-76-50
336,FALSE,Pt900,リング,オーバル,180,ORB1-1-180,"250,000",3038,"0,06ct",,,青山,2024/07/04,05C-85-50
337,FALSE,Pt900,リング,オーバル,180,09K-55-180,"270,000",104234,0.15ct,,,muro,2015/05/29,05H-35-50
338,FALSE,Pt900,リング,オーバル,180,09B-20-180,"270,000",20348,0.16ct,,,nakayama,2017/11/11,14A-140-50
339,FALSE,Pt900,リング,オーバル,180,09A-324-180,"280,000",105182,,,,tanaka,2023/11/14,14A-178-50
340,FALSE,Pt900,リング,オーバル,180,ORB1-2-180,"300,000",3034,0.22ct,,,yoshida,2024/11/11,14A-80-50
341,FALSE,Pt900,リング,オーバル,180,09A-290-180,"310,000",106523,,,,河野,2022/03/09,14A-89-50
342,FALSE,Pt900,リング,オーバル,180,ORK1-2-180,"320,000",3033,0.23ct,,,tanaka,2024/02/21,14B-113-50
343,FALSE,Pt900,リング,オーバル,180,09E-260-180,"350,000",105422,0.16CT,,,NAKAYAMA,2015/09/25,14B-83-50
344,FALSE,Pt900,リング,オーバル,180,09K-16-180,"350,000",103213,0.43ct,,,suzuki,2017/03/07,14B-314-50
345,FALSE,Pt900,リング,オーバル,180,09C-175-190,"350,000",103586,0.29ct,,,nakayama,2017/09/08,14K-27-50
346,FALSE,Pt900,リング,オーバル,180,09K-163-180,"350,000",103393,0.35ct,,,muro,2018/08/25,14B-196-50
347,FALSE,Pt900,リング,オーバル,180,09K-87-180,"390,000",103651,0.40ct,,,muro,2017/05/05,15A-142-50
348,FALSE,Pt900,リング,オーバル,180,09K-116-180,"400,000",104129,0.37ct,,,tanaka,2023/11/14,03A-122-70
349,FALSE,Pt900,リング,オーバル,180,09K-163-180,"400,000",104758,0.38ct,,,tanaka,2023/11/14,15A-64-70
350,FALSE,Pt900,リング,オーバル,180,09K-78-180,"544,000",3042,0.37ct,,,河野,2022/03/09,03B-250-70
351,FALSE,Pt900,リング,オーバル,180,09E-106-180,"600,000",105345,0.67ct,,,kida,2017/03/17,03K-33-70
352,FALSE,Pt900,リング,オーバル,180,SAHA-E-1308-OR180,"2,220,000",30198,2.60ct,,,kida,2017/03/17,03K-38-70
353,FALSE,Pt900,リング,オーバル,190,09A-286-190,"140,000",102619,,,,河野,2022/03/09,14A-44-70
354,FALSE,Pt900,リング,オーバル,190,09E-141-200,"220,000",102702,0.13ct,,,hirokawa,2019/06/09,14K-4-70
355,FALSE,Pt900,リング,オーバル,190,09K-100-190,"250,000",102962,0.24ct,,,河野,2022/03/09,04A-415-10
356,FALSE,Pt900,リング,オーバル,190,09K-44-190,"260,000",102982,0.20ct,,,sato,2016/04/07,15A-165-10
357,FALSE,Pt900,リング,オーバル,190,09B-20-190,"280,000",103477,0.15ct,,,nakayama,2017/04/26,03A-122-20
358,FALSE,Pt900,リング,オーバル,190,09B-18-190,"290,000",20283,0.27ct,,,nakayama,2017/04/26,04A-332-20
359,FALSE,Pt900,リング,オーバル,190,09L-38-190,"338,000",404,0.27ct,,,河野,2022/03/09,04A-394-20
360,FALSE,Pt900,リング,オーバル,190,09K-16-190,"360,000",20293,0.50ct,,,muro,2016/05/03,04A-427-20
361,FALSE,Pt900,リング,オーバル,190,09C-175-200,"360,000",103303,0.38ct,,,kim,2018/05/28,15A-150-20
362,FALSE,Pt900,リング,オーバル,190,09S-111-190,"500,000",104335,0.63ct,,,sato,2016/04/14,04A-340-30
363,FALSE,Pt900,リング,オーバル,190,09S-111-190,"550,000",104766,0.64ct,,,tanaka,2023/11/14,04A-392-30
364,FALSE,Pt900,リング,オーバル,200,09A-188-200,"130,000",102469,,,,komaki,2017/01/27,04A-402-30
365,FALSE,Pt900,リング,オーバル,200,ORA1-2-200,"165,000",20232,,,,fujita,2023/08/18,14B-103-30
366,FALSE,Pt900,リング,オーバル,200,ORA1-3-200,"170,000",20345,,,,tanaka,2023/04/27,09B-410-100
367,FALSE,Pt900,リング,オーバル,200,09A-322-200,"170,000",103352,,,,shige,2024/09/12,09K-16-100
368,FALSE,Pt900,リング,オーバル,200,ORA1-6-200,"180,000",3029,,,,tanaka,2024/04/12,09L-38-100
369,FALSE,Pt900,リング,オーバル,200,09K-69-200,"230,000",102928,0.13ct,,,河野,2022/03/09,15A-64-100
370,FALSE,Pt900,リング,オーバル,200,09A-261-200,"240,000",104863,,,,河野,2022/03/09,ORB1-1-100
371,FALSE,Pt900,リング,オーバル,200,09C-188-200,"240,000",102681,0.18ct,,,河野,2022/03/09,19B-138-100
372,FALSE,Pt900,リング,オーバル,200,09B-362-200,"240,000",103988,0.10ct,,,fujita,2023/01/05,double craw-100
373,FALSE,Pt900,リング,オーバル,200,09K-15-200,"250,000",102829,0.29ct,,,muro,2017/02/27,09B-423-120 
374,FALSE,Pt900,リング,オーバル,200,09E-393-200,"250,000",103887,0.10ct,,,河野,2022/03/14,09E-260-120
375,FALSE,Pt900,リング,オーバル,200,ORB1-1-200,"260,000",3039,"0,06ct",,,青山,2024/07/04,09E-715-120
376,FALSE,Pt900,リング,オーバル,200,09A-324-200,"270,000",105247,,,,komaki,2019/04/01,09H-259-120
377,FALSE,Pt900,リング,オーバル,200,09E-161-200,"280,000",103662,0.15ct,,,shige,2018/04/20,19H-67-120
378,FALSE,Pt900,リング,オーバル,200,09E-384-200,"280,000",103553,0.26ct,,,kim,2019/09/14,19B-199-120
379,FALSE,Pt900,リング,オーバル,200,09E-426-200,"290,000",103264,0.10ct,,,komaki,2019/02/27,09A-336-130
380,FALSE,Pt900,リング,オーバル,200,ORK1-2-200,"320,000",20335,0.23ct,,,tanaka,2024/02/21,09A-286-140
381,FALSE,Pt900,リング,オーバル,200,09C-175-210,"330,000",103138,0.32ct,,,muro,2016/04/07,09A-294-140
382,FALSE,Pt900,リング,オーバル,200,09K-91-200,"340,000",103759,0.37ct,,,muro,2017/05/05,09C-253-140
383,FALSE,Pt900,リング,オーバル,200,09K-91-200,"340,000",103633,0.34ct,,,河野,2022/03/14,09E-125-140
384,FALSE,Pt900,リング,オーバル,200,09K-91-200,"370,000",104075,0.29ct,,,tanaka,2023/11/14,09E-125-140
385,FALSE,Pt900,リング,オーバル,200,09K-16-200,"380,000",103491,0.43ct,,,shige,2015/05/14,09F-116-140
386,FALSE,Pt900,リング,オーバル,200,09H-261-200,"440,000",103984,0.34ct,,,muro,2016/05/03,09K-69-140
387,FALSE,Pt900,リング,オーバル,200,09H-263-200,"450,000",104056,0.37ct,,,tanaka,2023/11/14,19B-138-140
388,FALSE,Pt900,リング,オーバル,210,09E-141-220,"240,000",102885,0.15ct,,,SK,2019/02/05,09A-150-160
389,FALSE,Pt900,リング,オーバル,210,09C-188-210,"260,000",103295,0.20ct,,,yoshida,2020/08/02,09B-312-160
390,FALSE,Pt900,リング,オーバル,210,09B-18-210,"300,000",103033,0.30ct,,,河野,2022/03/14,09C-175-160 
391,FALSE,Pt900,リング,オーバル,210,09B-20-210,"400,000",103529,0.38ct,,,sato,2016/04/07,09H-261-160
392,FALSE,Pt900,リング,オーバル,210,09K-16-210,"400,000",103547,0.48ct,,,muro,2017/05/05,09C-183-160
393,FALSE,Pt900,リング,オーバル,210,09K-16-210,"400,000",103707,0.55ct,,,河野,2022/03/14,09C-215-160
394,FALSE,Pt900,リング,オーバル,210,09B-20-210,"400,000",103362,0.41ct,,,tanaka,2023/11/14,19A-2-160
395,FALSE,Pt900,リング,オーバル,210,09S-111-210,"550,000",405,0.72ct,,,nakajima,2025/03/23,19A-84-160
396,FALSE,Pt900,リング,オーバル,220,09A-188-220,"140,000",102559,,,,hirokawa,2019/04/11,19B-109-160
397,FALSE,Pt900,リング,オーバル,220,09A-322-220,"190,000",20372,,,,shige,2017/04/20,19B-280-160
398,FALSE,Pt900,リング,オーバル,220,ORA1-3-220,"210,000",3037,,,,shige,2024/09/13,19K-13-160
399,FALSE,Pt900,リング,オーバル,220,09E-393-220,"260,000",104034,0.10ct,,,河野,2022/03/14,09K-100-170
400,FALSE,Pt900,リング,オーバル,220,ORB1-1-220,"270,000",404,"0,06ct",,,青山,2024/07/04,09E-127-180
401,FALSE,Pt900,リング,オーバル,220,09C-25-220,"280,000",103201,0.24ct,,,tanaka,2023/11/14,09E-265-180
402,FALSE,Pt900,リング,オーバル,220,09C-235-220,"290,000",104906,0.08ct,,,tanaka,2023/07/14,09E-322-180
403,FALSE,Pt900,リング,オーバル,220,ORK1-2-220,"320,000",20335,0.23ct,,,tanaka,2024/02/21,09E-426-180
404,FALSE,Pt900,リング,オーバル,220,09C-175-230,"380,000",103246,0.32ct,,,muro,2018/08/25,09K-158-180
405,FALSE,Pt900,リング,オーバル,220,09K-16-220,"420,000",103652,0.56ct,,,muro,2017/05/05,19A-101-180
406,FALSE,Pt900,リング,オーバル,220,09H-261-220,"460,000",104583,0.35ct,,,komaki,2019/05/29,19A-60-180
407,FALSE,Pt900,リング,オーバル,220,09H-261-220,"460,000",104758,0.36ct,,,tanaka,2023/11/14,19B-248-180
408,FALSE,Pt900,リング,オーバル,230,09A-188-230,"190,000",20381,,,,山室,2022/10/08,19B-98-180
409,FALSE,Pt900,リング,オーバル,230,09B-18-230,"320,000",103183,0.30ct,,,SK,2014/05/23,09S-111-190
410,FALSE,Pt900,リング,オーバル,230,09C-175-240,"380,000",20456,0.40ct,,,shige,2018/08/02,09A-188-200
411,FALSE,Pt900,リング,オーバル,230,09K-16-230,"440,000",104358,0.57ct,,,shige,2015/05/14,09A-322-200
