出庫,横浜,6,Pt900,リング,ダイヤ,0.5,03B-291-50,"300,000",103387,0.22ct,,,吉野,2022/10/22,2025/11/28,,"21,500"
出庫,横浜,1,Pt900,リング,ダイヤ,0.5,03B-169-50,"210,000",102943,0.18ct,,,河野,2022/03/14,2025/11/28,,"11,500"
出庫,横浜,3,Pt900,リング,ダイヤ,0.5,03B-276-50,"240,000",102966,0.15ct,,,tanaka,2024/01/04,2025/11/28,,"9,020"
出庫,横浜,6,Pt900,リング,ダイヤ,0.5,03B-56-50,"270,000",0,0.35ct,,,小牧,2023/09/06,2025/11/28,,"19,000"
出庫,横浜,1,Pt900,リング,ダイヤ,0.5,03B-239-50,"420,000",103599,0.48ct,,,nakajima,2015/11/11,2025/11/28,,"35,000"
出庫,横浜,3,Pt900,リング,ダイヤ,0.5,03B-392-50,"220,000",20232,0.13ct,,,河野,2022/03/14,2025/11/28,,"11,000"
出庫,横浜,6,Pt900,リング,ダイヤ,0.5,03B-X046-50,"270,000",103234,0.23ct,,,fujita,2025/05/28,2025/11/28,,"34,000"
出庫,横浜,1,Pt900,リング,ダイヤ,0.5,03B-334-50,"300,000",103631,0.17ct,,,tanaka,2024/01/04,2025/11/28,,"36,000"
出庫,横浜,3,Pt900,リング,ダイヤ,0.5,03B-95-50,"250,000",104054,0.12ct,,,fujita,2025/04/16,2025/11/28,,"14,100"
出庫,横浜,6,Pt900,リング,ダイヤ,0.5,03K-24-50,"359,000",103253,0.40ct,,,河野,2022/03/09,2025/11/28,,"20,100"
出庫,横浜,1,Pt900,リング,ダイヤ,0.5,03B-56-50,"270,000",20289,0.30ct,,,fujita,2025/05/28,2025/11/28,,"24,000"
出庫,横浜,3,Pt900,リング,ダイヤ,0.5,03K-12-50,"260,000",103243,0.20ct,,,河野,2022/03/09,2025/11/28,,"17,000"
出庫,横浜,4,Pt900,リング,ダイヤ,0.5,03K-35-50,"450,000",104259,0.40ct,,,小牧,2023/09/06,2025/11/28,,"42,100"
出庫,Aチーム,5,Pt900,リング,ダイヤ,0.3,03B-184-30,"200,000",102455,0.19ct,,,河野,2022/03/14,2025/11/28,,"20,000"
出庫,Aチーム,7,Pt900,リング,ダイヤ,0.3,03B-291-30,"230,000",102872,0.12ct,,,山室,2022/10/08,2025/11/28,,"16,000"
