No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,摘要,入力者,入庫日,下代（数値）
49,FALSE,Pt900,リング,ダイヤ,0.5,03K-37-50,"280,000",102511,0.35ct,,,植田,2023/07/10,"20,500"
50,FALSE,Pt900,リング,ダイヤ,0.5,03K-38-50,"240,000",20327,0.25ct,,,廣川,2021/10/05,"8,800"
51,FALSE,Pt900,リング,ダイヤ,0.5,03K-39-50,"270,000",20329,0.21ct,,,tanaka,2023/11/14,"20,200"
52,FALSE,Pt900,リング,ダイヤ,0.5,03K-40-50,"400,000",20281,0.56ct,,,KOUNO,2021/02/22,"38,100"
53,FALSE,Pt900,リング,ダイヤ,0.5,04A-289-50,"250,000",104869,,,,nakajima,2025/03/16,"12,000"
54,FALSE,Pt900,リング,ダイヤ,0.5,04A-427-50,"220,000",103941,,,,nakajima,2025/01/16,"10,000"
55,FALSE,Pt900,リング,ダイヤ,0.5,04A-459-50,"180,000",103407,,,,nakajima,2025/03/16,"7,500"
56,FALSE,Pt900,リング,ダイヤ,0.5,04B-149-50,"210,000",104047,0.02ct,,,fujita,2025/04/16,"10,500"
57,FALSE,Pt900,リング,ダイヤ,0.5,04B-149-50,"230,000",103584,,,LGD 0.01ct,植田,2023/04/18,"13,000"
58,FALSE,Pt900,リング,ダイヤ,0.5,04B-153-50,"240,000",102981,0.18ct,,,nakayama,2023/04/05,"12,500"
59,FALSE,Pt900,リング,ダイヤ,0.5,04B-196-50,"280,000",20239,0.19ct,,,kida,2017/03/17,"5,900"
60,FALSE,Pt900,リング,ダイヤ,0.5,04K-13-50,"380,000",104539,0.49ct,,,komaki,2022/04/04,"26,000"
61,FALSE,Pt900,リング,ダイヤ,0.5,04K-14-50,"440,000",104631,0.48ct,,,komaki,2022/05/27,"39,600"
62,FALSE,Pt900,リング,ダイヤ,0.5,DRA1-2-50,"113,000",3024,,,,fujita,2023/08/18,"4,800"
63,FALSE,Pt900,リング,ダイヤ,0.5,DRA2-1-50*50,"140,000",20264,,,,nakajima,2025/01/16,"4,300"
64,FALSE,Pt900,リング,ダイヤ,0.5,DRA2-3-50,"200,000",3036,,,,tanaka,2023/05/25,"10,000"
65,FALSE,Pt900,リング,ダイヤ,0.5,DRB1-1-50,"250,000",20315,0.09ct,,,fujita,2023/10/27,"10,600"
66,FALSE,Pt900,リング,ダイヤ,0.5,DRB1-3-50,"300,000",20315,0.20ct,,,fujita,2023/08/18,"29,500"
67,FALSE,Pt900,リング,ダイヤ,0.5,DRB1-4-50,"250,000",3029,0.17ct,,,坂井,2024/10/08,"13,000"
68,FALSE,Pt900,リング,ダイヤ,0.5,DRB2-1-50,"310,000",404,0.19ct,,,fujita,2023/08/18,"33,500"
69,FALSE,Pt900,リング,ダイヤ,0.5,DRK2-1-50,"450,000",20445,0.43ct,,,fujita,2023/10/27,"10,000"
